trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected
10,regular,psi,"[2, 5]","{2: 'withhold', 5: 'equivocate'}",0,1,1,"[2, 5]",2,0,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]",1,0,1,1,1,0,0,1,0.3074901882673679,0.918605352619484,,,,0.01,8,2,False,False
11,regular,psi,"[1, 2]","{2: 'withhold', 1: 'equivocate'}",0,1,1,"[1, 2]",2,0,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 0]",0,0,0,1,0,0,0,1,0.30749022617720145,0.9186052714309836,,,,0.01,8,2,False,False
12,regular,psi,"[3, 4]","{3: 'equivocate', 4: 'equivocate'}",0,2,0,"[3, 4]",2,0,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 0, 1]",1,1,0,0,1,1,0,1,0.3114857586534804,0.9186053394413579,,,,0.01,8,2,False,False
13,regular,psi,"[2, 3]","{2: 'withhold', 3: 'withhold'}",0,0,2,"[2, 3]",2,0,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]",0,1,0,1,0,1,1,1,0.9186053047342603,0.9186053047342603,,,,0.01,8,2,False,False
14,regular,psi,"[1, 5]","{5: 'coherent_flip', 1: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 0, 0, 0, 0, 1]",1,1,1,1,1,1,1,1,0.9186053394413579,0.9186053394413579,,,,0.01,8,2,False,False
15,regular,psi,"[5, 7]","{5: 'coherent_flip', 7: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]",0,1,0,1,0,1,1,1,0.918605279464224,0.918605279464224,,,,0.01,8,2,False,False
16,regular,psi,"[5, 6]","{5: 'coherent_flip', 6: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1]",0,1,1,0,1,0,0,0,0.31148576590881843,0.31148576590881843,,,,0.01,8,2,False,False
17,regular,psi,"[2, 7]","{2: 'equivocate', 7: 'coherent_flip'}",1,1,0,[2],1,1,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,0,1,1,0,1,0,0,0.3114857492495739,0.30749017146983887,,,,0.01,8,2,False,False
18,regular,psi,"[6, 7]","{6: 'withhold', 7: 'coherent_flip'}",1,0,1,[6],1,1,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]",1,1,1,0,1,0,0,0,0.3074902073304903,0.3074902073304903,,,,0.01,8,2,False,False
19,regular,psi,"[3, 8]","{3: 'withhold', 8: 'coherent_flip'}",1,0,1,[3],1,1,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 0, 1]",0,1,1,1,1,1,0,0,0.4624187088292415,0.4624187088292415,,,,0.01,8,2,False,False
20,regular,psi,"[6, 8]","{8: 'coherent_flip', 6: 'equivocate'}",1,1,0,[6],1,1,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 0]",0,1,0,1,1,1,1,0,0.9186053047342604,0.4624187047854703,,,,0.01,8,2,False,False
21,regular,psi,"[3, 5]","{3: 'coherent_flip', 5: 'equivocate'}",1,1,0,[5],1,1,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]",1,1,1,1,1,0,1,0,0.9186052962617509,0.3074902176724134,,,,0.01,8,2,False,False
22,regular,psi,"[2, 6]","{6: 'equivocate', 2: 'withhold'}",0,1,1,"[2, 6]",2,0,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]",0,0,1,0,0,0,0,1,0.46241869677397596,0.9186053365421889,,,,0.01,8,2,False,False
23,regular,psi,"[5, 8]","{5: 'withhold', 8: 'withhold'}",0,0,2,"[5, 8]",2,0,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]",0,0,0,0,0,0,1,1,0.9186053311421751,0.9186053311421751,,,,0.01,8,2,False,False
24,regular,psi,"[2, 3]","{2: 'coherent_flip', 3: 'equivocate'}",1,1,0,[3],1,1,"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]",1,0,0,1,0,0,0,0,0.31148577172222247,0.46241871434361315,,,,0.01,8,2,False,False
25,regular,psi,"[7, 8]","{8: 'coherent_flip', 7: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1]",1,0,0,1,0,1,0,0,0.31148574924957395,0.31148574924957395,,,,0.01,8,2,False,False
26,regular,psi,"[4, 8]","{4: 'coherent_flip', 8: 'withhold'}",1,0,1,[8],1,1,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1]",0,1,1,1,1,1,0,0,0.46241866232200657,0.46241866232200657,,,,0.01,8,2,False,False
27,regular,psi,"[3, 5]","{5: 'equivocate', 3: 'withhold'}",0,1,1,"[3, 5]",2,0,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 0, 0, 1]",0,1,0,0,0,1,0,1,0.30749019741702316,0.9186053597958065,,,,0.01,8,2,False,False
28,regular,psi,"[1, 2]","{2: 'coherent_flip', 1: 'equivocate'}",1,1,0,[1],1,1,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0]",0,1,1,0,1,1,0,0,0.31148579497583856,0.46241869108999706,,,,0.01,8,2,False,False
29,regular,psi,"[2, 5]","{5: 'coherent_flip', 2: 'equivocate'}",1,1,0,[2],1,1,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 0, 1]",0,1,1,0,0,0,0,0,0.31148575428201036,0.3074901769785852,,,,0.01,8,2,False,False
30,regular,psi,"[2, 4]","{4: 'withhold', 2: 'coherent_flip'}",1,0,1,[4],1,1,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 0, 1]",1,0,0,0,0,0,0,0,0.4624187154627508,0.4624187154627508,,,,0.01,8,2,False,False
31,regular,psi,"[4, 7]","{7: 'coherent_flip', 4: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,1,1,1,0,0,0.3114857600954144,0.3114857600954144,,,,0.01,8,2,False,False
32,regular,zero,"[5, 8]","{8: 'coherent_flip', 5: 'equivocate'}",1,1,0,[5],1,1,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]",0,0,1,1,1,0,0,0,0.04780893099023299,0.04780893099023299,,,,0.01,8,2,True,True
33,regular,psi,"[3, 4]","{3: 'withhold', 4: 'equivocate'}",0,1,1,"[3, 4]",2,0,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]",0,1,1,1,0,1,0,1,0.46241873178382525,0.9186053369555793,,,,0.01,8,2,False,False
34,regular,psi,"[3, 7]","{7: 'coherent_flip', 3: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1]",1,0,1,0,1,0,1,1,0.9186053128601146,0.9186053128601146,,,,0.01,8,2,False,False
35,regular,psi,"[4, 5]","{4: 'equivocate', 5: 'coherent_flip'}",1,1,0,[4],1,1,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 1]",0,1,1,0,0,0,0,0,0.3114857484686063,0.3074901711651812,,,,0.01,8,2,False,False
36,regular,psi,"[1, 2]","{2: 'equivocate', 1: 'withhold'}",0,1,1,"[1, 2]",2,0,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 0]",0,1,1,1,0,1,0,1,0.46241869108999706,0.918605296261751,,,,0.01,8,2,False,False
37,regular,plus,"[3, 8]","{8: 'withhold', 3: 'coherent_flip'}",1,0,1,[8],1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 1]",0,0,0,1,0,1,0,0,0.047808915376663215,0.047808915376663215,,,,0.01,8,2,True,True
38,regular,psi,"[2, 7]","{7: 'coherent_flip', 2: 'equivocate'}",1,1,0,[2],1,1,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0]",0,0,1,1,0,1,0,0,0.3114857600954144,0.3074901827919893,,,,0.01,8,2,False,False
39,regular,psi,"[4, 5]","{5: 'coherent_flip', 4: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",1,1,0,0,0,0,0,0,0.31148572275957687,0.31148572275957687,,,,0.01,8,2,False,False
40,regular,psi,"[3, 5]","{3: 'equivocate', 5: 'coherent_flip'}",1,1,0,[3],1,1,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 0]",0,0,0,0,0,1,1,0,0.9186053078885591,0.3074902060456054,,,,0.01,8,2,False,False
41,regular,psi,"[1, 6]","{6: 'withhold', 1: 'coherent_flip'}",1,0,1,[6],1,1,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]",0,0,0,1,0,1,0,0,0.3074902261772014,0.3074902261772014,,,,0.01,8,2,False,False
42,regular,psi,"[3, 6]","{6: 'withhold', 3: 'equivocate'}",0,1,1,"[3, 6]",2,0,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 1]",1,1,1,0,1,1,0,1,0.30749021292966616,0.9186053226438304,,,,0.01,8,2,False,False
43,verification,verification,"[5, 7]","{7: 'equivocate', 5: 'equivocate'}",0,2,0,"[5, 7]",2,0,"[0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 1, 0]",0,0,0,0,0,0,1,1,,,Phi+,True,0.9215037948341309,0.01,8,2,False,False
44,verification,verification,"[3, 5]","{3: 'coherent_flip', 5: 'equivocate'}",1,1,0,[5],1,1,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 1]",0,0,0,0,0,1,1,0,,,Phi-,False,0.026165396754902544,0.01,8,2,False,False
45,regular,psi,"[1, 5]","{5: 'equivocate', 1: 'withhold'}",0,1,1,"[1, 5]",2,0,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 1, 0]",1,1,1,0,1,1,0,1,0.30749018107864845,0.9186053112161854,,,,0.01,8,2,False,False
46,regular,psi,"[1, 8]","{8: 'coherent_flip', 1: 'equivocate'}",1,1,0,[1],1,1,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0]",0,0,1,1,1,0,0,0,0.3114857680573853,0.4624187016824727,,,,0.01,8,2,False,False
47,regular,psi,"[2, 6]","{2: 'withhold', 6: 'withhold'}",0,0,2,"[2, 6]",2,0,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,0,1,1,0.918605307888559,0.918605307888559,,,,0.01,8,2,False,False
48,regular,psi,"[4, 5]","{4: 'equivocate', 5: 'coherent_flip'}",1,1,0,[4],1,1,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]",1,0,0,1,1,1,0,0,0.3114857688383551,0.30749022109909746,,,,0.01,8,2,False,False
49,regular,psi,"[1, 2]","{2: 'withhold', 1: 'equivocate'}",0,1,1,"[1, 2]",2,0,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1]",1,1,1,0,1,1,0,1,0.3074901765479431,0.9186053047342603,,,,0.01,8,2,False,False
50,regular,psi,"[6, 8]","{6: 'equivocate', 8: 'withhold'}",0,1,1,"[6, 8]",2,0,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]",1,1,0,1,1,1,0,1,0.4624187088292415,0.9186053709941584,,,,0.01,8,2,False,False
51,regular,psi,"[3, 7]","{7: 'coherent_flip', 3: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]",1,1,1,1,1,1,1,1,0.9186053259714562,0.9186053259714562,,,,0.01,8,2,False,False
52,regular,psi,"[1, 2]","{2: 'withhold', 1: 'coherent_flip'}",1,0,1,[2],1,1,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]",0,1,0,0,0,0,0,0,0.3074901765479431,0.3074901765479431,,,,0.01,8,2,False,False
53,regular,psi,"[1, 2]","{1: 'equivocate', 2: 'coherent_flip'}",1,1,0,[1],1,1,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1]",1,0,0,1,0,0,0,0,0.3114857324520449,0.4624187266611035,,,,0.01,8,2,False,False
54,regular,psi,"[1, 3]","{1: 'coherent_flip', 3: 'withhold'}",1,0,1,[3],1,1,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,0,1,0,0,0,0.3074901886053933,0.3074901886053933,,,,0.01,8,2,False,False
55,regular,psi,"[1, 4]","{1: 'coherent_flip', 4: 'withhold'}",1,0,1,[4],1,1,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 1]",0,0,0,1,0,1,0,0,0.30749018279198925,0.30749018279198925,,,,0.01,8,2,False,False
56,regular,psi,"[2, 6]","{2: 'withhold', 6: 'equivocate'}",0,1,1,"[2, 6]",2,0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1]",0,0,1,0,0,0,0,1,0.4624187143436132,0.9186053195153672,,,,0.01,8,2,False,False
57,regular,psi,"[1, 7]","{7: 'coherent_flip', 1: 'equivocate'}",1,1,0,[1],1,1,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 1, 0, 1]",0,1,0,1,0,0,1,0,0.9186053597958065,0.30749019741702316,,,,0.01,8,2,False,False
58,regular,psi,"[6, 8]","{6: 'withhold', 8: 'coherent_flip'}",1,0,1,[6],1,1,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]",0,0,1,0,1,0,0,0,0.4624187266611035,0.4624187266611035,,,,0.01,8,2,False,False
59,regular,psi,"[3, 8]","{8: 'equivocate', 3: 'withhold'}",0,1,1,"[3, 8]",2,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,1,0,0,1,0.46241870986357453,0.9186053694170129,,,,0.01,8,2,False,False
60,regular,psi,"[5, 7]","{5: 'coherent_flip', 7: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]",1,0,1,0,1,0,1,1,0.9186053582186601,0.9186053582186601,,,,0.01,8,2,False,False
61,regular,psi,"[6, 7]","{7: 'coherent_flip', 6: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0]",1,1,0,0,0,0,0,0,0.31148578046516384,0.31148578046516384,,,,0.01,8,2,False,False
62,regular,psi,"[2, 3]","{2: 'withhold', 3: 'equivocate'}",0,1,1,"[2, 3]",2,0,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 1, 1, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0]",1,1,1,0,1,1,0,1,0.3074901711651812,0.9186053427689832,,,,0.01,8,2,False,False
63,verification,verification,"[1, 3]","{1: 'withhold', 3: 'withhold'}",0,0,2,"[1, 3]",2,0,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",1,1,1,1,1,1,1,1,,,Phi+,True,0.9215037948341309,0.01,8,2,False,False
64,regular,psi,"[6, 7]","{6: 'equivocate', 7: 'coherent_flip'}",1,1,0,[6],1,1,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1]",0,1,1,0,0,0,0,0,0.3114857891624346,0.3074902118590094,,,,0.01,8,2,False,False
65,regular,psi,"[4, 5]","{5: 'coherent_flip', 4: 'equivocate'}",1,1,0,[4],1,1,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 1]",0,0,1,1,0,1,0,0,0.31148576739642136,0.3074902344392488,,,,0.01,8,2,False,False
66,regular,psi,"[3, 7]","{7: 'withhold', 3: 'coherent_flip'}",1,0,1,[7],1,1,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]",0,1,0,0,0,0,0,0,0.3074902073304903,0.3074902073304903,,,,0.01,8,2,False,False
67,regular,psi,"[1, 5]","{1: 'coherent_flip', 5: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]",1,1,1,1,1,1,1,1,0.9186053020751549,0.9186053020751549,,,,0.01,8,2,False,False
68,regular,psi,"[1, 6]","{6: 'coherent_flip', 1: 'equivocate'}",1,1,0,[1],1,1,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 1]",1,0,0,1,0,0,0,0,0.31148579209197264,0.4624186506951977,,,,0.01,8,2,False,False
69,regular,plus,"[2, 4]","{4: 'equivocate', 2: 'equivocate'}",0,2,0,"[2, 4]",2,0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1]",0,1,0,1,0,1,1,1,0.9521910846233366,0.9521910846233366,,,,0.01,8,2,True,False
70,regular,psi,"[1, 8]","{1: 'withhold', 8: 'withhold'}",0,0,2,"[1, 8]",2,0,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]",1,1,1,1,1,1,1,1,0.9186053709941584,0.9186053709941584,,,,0.01,8,2,False,False
71,regular,psi,"[3, 5]","{3: 'withhold', 5: 'equivocate'}",0,1,1,"[3, 5]",2,0,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]",0,0,0,1,0,0,0,1,0.3074902228431323,0.9186052910910321,,,,0.01,8,2,False,False
72,regular,psi,"[1, 4]","{1: 'coherent_flip', 4: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 1, 1]",0,1,1,0,1,0,0,0,0.31148573395792883,0.31148573395792883,,,,0.01,8,2,False,False
